Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScore,0.9,0.09999999999999998,100,1,0.008094495399716685,0.004374323058841768,0.004374323058841768,4106,0,41232,0,0.09974497903311269,0.10363385045449855,0.09672727936288289,0.22009796176331173
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,1,0.013140540759833933,0.007335104539678872,0.007335104539678872,4106,0,8996,0,0.13686686549768118,0.13568523178183384,0.1377127115910293,0.26623479222626006
reranker,frequencyScore,0.9,0.09999999999999998,100,10,0.005579930498872997,0.01045185758922195,0.02958534015180242,4106,0,41232,0,0.0908475484808436,0.10602443282726712,0.0873665510033816,0.4089113604044873
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,10,0.059772385155361776,0.07029355279521811,0.3421822721294399,4106,0,8996,0,0.22640548450215578,0.25616845372471875,0.2217038696834822,0.40243324379838835
reranker,frequencyScore,0.9,0.09999999999999998,20,20,0.0035588012458942523,0.009174646484274773,0.03622461490447848,4106,0,8996,0,0.0744696718466965,0.09289336569103447,0.0733209808189472,0.478274608942961
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,20,0.006852023824685779,0.019989018327047203,0.07764423429444138,4106,0,41232,0,0.1044648678201164,0.1209633033335794,0.1024617761905189,0.4529941538947701
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,20,0.03961754225053949,0.13664811465051335,0.5139598482989083,4106,0,22137,0,0.20070333339266944,0.22240949728343842,0.20246627858231772,0.32848791278243006
reranker,frequencyScore,0.5,0.5,50,5,0.01262116125644948,0.017207681177134754,0.0355622603996685,4106,0,22137,0,0.13635130535320344,0.1492767983687171,0.13428586068578116,0.35155632801390424
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,5,0.04864334180997294,0.08279281043968169,0.1545908394803606,4106,0,41232,0,0.23564931167735004,0.2620061395613822,0.2340525174200846,0.213777848001264
reranker,frequencyScore,0.9,0.09999999999999998,100,3,0.007505983014304315,0.007595707520916322,0.012002153641812495,4106,0,41232,0,0.09732535304082568,0.10624506832886516,0.09358599969649667,0.3021014378258809
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,3,0.031676528063488446,0.024216450602454177,0.05029699117841965,4106,0,8996,0,0.1650742236221482,0.1719875060027988,0.16344963731618045,0.34539421709590773
reranker,frequencyScore,0.1,0.9,20,20,0.042685643574924555,0.22834883941568365,0.5555893314202683,4106,0,8996,0,0.20320027262897242,0.21518699582120102,0.20833324924853067,0.3591404645283615
reranker,frequencyScore,0.7,0.30000000000000004,20,10,0.005603224798186047,0.010277826350688342,0.028708133971291867,4106,0,8996,0,0.08713517874480567,0.10492841171258777,0.08417775375179619,0.41380944857007423
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,20,0.01619456553517845,0.03874207953305782,0.19213292243747002,4106,0,41232,0,0.1351954674616729,0.15040441153399897,0.13395043549889538,0.42028756517617316
reranker,frequencyScoreNormalizedLog2,0.5,0.5,50,1,0.018717298566996304,0.011118790416910995,0.011118790416910995,4106,0,22137,0,0.16227761865465715,0.16170874849043307,0.16441999769266918,0.2586506557118028
bridges,frequencyScoreNormalizedLog2,0,0,100,1,0.23834026069131425,0.15971478892331914,0.15971478892331914,0,0,0,0,0.4778486102128506,0.43297722732258126,0.4693538847865859,0.1763311739611313
reranker,frequencyScoreNormalizedLog2,0.5,0.5,50,10,0.02812482880594021,0.03949413139493057,0.16322039276739475,4106,0,22137,0,0.16032827583655596,0.18272982343706137,0.1577221151843172,0.3953231158160847
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,20,1,0.005445729002004783,0.002878716949471982,0.002878716949471982,4106,0,8996,0,0.0835780917740059,0.08621675034840062,0.08183466020492768,0.22389003002054036
